person_title_id,person_id,title_id,date_text,notes
1,P0003,T0001,,
2,P0004,T0002,,
3,P0004,T0003,,
4,P0004,T0004,,
5,P0005,T0005,,
6,P0005,T0006,,
7,P0006,T0003,,
8,P0012,T0007,,Described as Amir Tuman in S0001.
9,P0012,T0008,,Described as Ejlal al-Dowleh in S0001.
10,P0012,T0002,,Received Sa'ed al-Saltaneh at his father's request.
11,P0013,T0009,,Named as sartip in the Herat campaign account.
12,P0015,T0010,before/during 1255 AH,Held rank of yavar while supporting Nabi Khan.
13,P0015,T0011,1255 AH,Promoted to sarhang after being wounded at Herat.
14,P0017,T0011,1255 AH,Described as a colonel of the Mokhberan regiment.
